Model,Accuracy,SEM,F1,Improvement
Baseline (P+B+G),0.6826722176065791,0.015361992439318396,0.6603261049199125,0.0
With Sequential (P+B+G+S),0.7189608382908426,0.014455601518692253,0.6979440134911028,0.03628862068426342
Behavior + Sequential,0.7188616189107209,0.014513941314131619,0.6986559056721051,0.03618940130414172
Sequential Only,0.6145534484736184,0.019073513510244635,0.5554919784735205,-0.06811876913296078
