Ambiguity,N,Baseline,Baseline_SEM,With_Sequential,With_Seq_SEM,Sequential_Only,Improvement
Low,4143,0.8061314713569189,0.019676184213543942,0.806151409295277,0.019608940333709222,0.5847586217755864,1.993793835808333e-05
Medium,4129,0.6835078098446875,0.023989267357872854,0.7176999988915869,0.019673148744335917,0.6673321298408283,0.03419218904689936
High,4142,0.5824979153535406,0.016356690798468878,0.6562676710102875,0.018519466093179806,0.647878854605513,0.07376975565674693
