RT_Group,N,Mean_RT,P(I|I),P(I|K),Difference,Chi2,p-value
Fast,6207,1.0290850437733516,0.7986486486486486,0.5636672325976231,0.23498141605102552,354.359008099486,4.763436261864858e-79
Slow,6207,2.1473430167390286,0.6380417335473515,0.507492912110166,0.1305488214371855,103.92523472893588,2.1009644900571394e-24
