Position,N_trials,Invest_rate,Sequential_acc,Sequential_std
Early,3997,0.6680010007505629,0.566965269086358,0.06828871038933539
Middle,4241,0.6571563310539967,0.6269987443607352,0.06196856285352265
Late,4166,0.6517042726836294,0.636839771879975,0.04903115746179746
