feature,mean_abs_shap
gaze_path_length,0.015480731121615757
screen_y_mean,0.009737867027259277
gaze_dispersion_y,0.006672926244481045
gaze_y_mean,0.0055271237803459486
gaze_y_std,0.0051705704845356575
gaze_dispersion_x,0.005036180530983725
gaze_acceleration_mean,0.004863897946748983
gaze_acceleration_std,0.004645882703975366
gaze_x_mean,0.004410106619174141
gaze_velocity_mean,0.004183811497362748
gaze_velocity_std,0.0032728649514732924
gaze_x_std,0.003260461672559899
screen_y_std,0.0028902441030879515
screen_x_mean,0.0021748572465098313
gaze_velocity_max,0.001996691871071415
screen_x_std,0.0015688652767812889
fixation_ratio,0.0005055536755414091
saccade_ratio,0.0004593156599732095
saccade_count,0.00011380449256000962
gaze_valid_pct,0.0
