feature,bin_idx,time_start,time_end,time_label,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
pupil_mean,0,-2.0,-1.5,-2.0s to -1.5s,0.9410799534868076,0.7862985962689206,0.154781357217887,6.854774532847241,7.587786217078822e-12,0.14583767243456147,0.14583767243456147,True,True
pupil_mean,1,-1.5,-1.0,-1.5s to -1.0s,0.3535426744015569,0.2966185573365254,0.056924117065031477,4.971697856158324,6.753160745744646e-07,0.10577457214903661,0.10577457214903661,True,True
pupil_mean,2,-1.0,-0.5,-1.0s to -0.5s,0.23062478702656022,0.2608523431032255,-0.030227556076665302,-3.783790916848878,0.00015540846979123486,-0.08050144576572509,0.08050144576572509,True,True
pupil_mean,3,-0.5,0.0,-0.5s to 0.0s,0.36339482315789656,0.4061704441198342,-0.042775620961937655,-4.787255460229294,1.716353948335472e-06,-0.10185049709862487,0.10185049709862487,True,True
pupil_median,0,-2.0,-1.5,-2.0s to -1.5s,0.9444769930719025,0.7836224239407167,0.1608545691311858,6.766346403010335,1.3988930403779259e-11,0.14395633373095296,0.14395633373095296,True,True
pupil_median,1,-1.5,-1.0,-1.5s to -1.0s,0.32753994213329934,0.2701551680656095,0.057384774067689825,4.581767170774162,4.669512763925174e-06,0.09747866346600963,0.09747866346600963,True,True
pupil_median,2,-1.0,-0.5,-1.0s to -0.5s,0.22739407046345894,0.25816262152009734,-0.030768551056638394,-3.712763328591601,0.00020618368214730249,-0.0789903095349935,0.0789903095349935,True,True
pupil_median,3,-0.5,0.0,-0.5s to 0.0s,0.36276646462756224,0.40638720375097603,-0.0436207391234138,-4.745739951421157,2.1078417188788393e-06,-0.10096724045094045,0.10096724045094045,True,True
pupil_std,0,-2.0,-1.5,-2.0s to -1.5s,0.2908162608392734,0.2882033623562277,0.0026128984830457447,0.3929864387940782,0.6943383330636694,0.00836092088185285,0.00836092088185285,False,False
pupil_std,1,-1.5,-1.0,-1.5s to -1.0s,0.308647338221019,0.2766534784839021,0.03199385973711688,5.060897154844531,4.25120683017681e-07,0.10767231773364422,0.10767231773364422,True,True
pupil_std,2,-1.0,-0.5,-1.0s to -0.5s,0.1486161059753978,0.1531670412125429,-0.004550935237145115,-2.057527450118449,0.03966280138256108,-0.043774600150248276,0.043774600150248276,True,False
pupil_std,3,-0.5,0.0,-0.5s to 0.0s,0.1390174889047461,0.14164505461459756,-0.0026275657098514538,-1.2984395374420765,0.19416792196103272,-0.027624745209366756,0.027624745209366756,False,False
pupil_range,0,-2.0,-1.5,-2.0s to -1.5s,0.902467294242907,0.8935453315816093,0.008921962661297633,0.453943402267456,0.6498799543225695,0.009657801126277676,0.009657801126277676,False,False
pupil_range,1,-1.5,-1.0,-1.5s to -1.0s,0.9425548415203824,0.8490425533385454,0.09351228818183699,5.169790631015242,2.3913554749649027e-07,0.10998906367940017,0.10998906367940017,True,True
pupil_range,2,-1.0,-0.5,-1.0s to -0.5s,0.4649698225832095,0.47751581922963005,-0.012545996646420532,-1.9246701100791963,0.054300530776760954,-0.040948014805343616,0.040948014805343616,False,False
pupil_range,3,-0.5,0.0,-0.5s to 0.0s,0.4290532308517244,0.43726701452150046,-0.008213783669776042,-1.4087233522339861,0.15894978020139386,-0.029971071084767327,0.029971071084767327,False,False
pupil_cv,0,-2.0,-1.5,-2.0s to -1.5s,1.6484142462117009,2.693276763385944,-1.044862517174243,-2.3505157471610807,0.018767790381010674,-0.05000802636820956,0.05000802636820956,True,False
pupil_cv,1,-1.5,-1.0,-1.5s to -1.0s,4.293769770769447,3.415189061464776,0.8785807093046705,0.9310090693791521,0.3518725779587737,0.019807536344645583,0.019807536344645583,False,False
pupil_cv,2,-1.0,-0.5,-1.0s to -0.5s,3.136244882355197,2.925821649043015,0.21042323331218205,0.28350634233784516,0.776794910732084,0.006031694388905541,0.006031694388905541,False,False
pupil_cv,3,-0.5,0.0,-0.5s to 0.0s,1.6584619284927764,1.4067574498466302,0.2517044786461462,0.5303598153755741,0.5958749027637922,0.011283586448622459,0.011283586448622459,False,False
pupil_slope,0,-2.0,-1.5,-2.0s to -1.5s,-0.984965214401547,-0.9456410121120451,-0.03932420228950195,-0.6224188482108076,0.5336814585018896,-0.013242173855244389,0.013242173855244389,False,False
pupil_slope,1,-1.5,-1.0,-1.5s to -1.0s,-1.0845317608533394,-0.7839087776395498,-0.30062298321378955,-5.62483151905389,1.9095832011182506e-08,-0.11967021419078652,0.11967021419078652,True,True
pupil_slope,2,-1.0,-0.5,-1.0s to -0.5s,0.34137142059451236,0.416411914936578,-0.07504049434206561,-3.4416064913623674,0.0005807657482580172,-0.0732213550906519,0.0732213550906519,True,True
pupil_slope,3,-0.5,0.0,-0.5s to 0.0s,0.12751697123395753,0.08422273502669551,0.04329423620726201,2.052723094543056,0.04012682765593292,0.04367238584235151,0.04367238584235151,True,False
pupil_velocity_mean,0,-2.0,-1.5,-2.0s to -1.5s,0.04053237541337058,0.0396859606260776,0.0008464147872929845,0.9813751097726038,0.3264328370832503,0.020879091078580082,0.020879091078580082,False,False
pupil_velocity_mean,1,-1.5,-1.0,-1.5s to -1.0s,0.03757372651395173,0.0344244610702162,0.0031492654437355327,4.917007192538581,8.935188970200521e-07,0.10461100957699503,0.10461100957699503,True,True
pupil_velocity_mean,2,-1.0,-0.5,-1.0s to -0.5s,0.02099098984370907,0.021428528426540163,-0.0004375385828310936,-1.5662460347987464,0.11732440282082282,-0.033322420027144695,0.033322420027144695,False,False
