feature,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,significant
pupil_slope_pre,-0.7527705691881651,-0.3980102460617257,-0.3547603231264394,-17.656323180634445,6.223602248004149e-69,-0.33286561997055525,Yes
pupil_std_pre,0.653087459678937,0.5528836379160564,0.10020382176288056,13.954634725775167,6.289923512308162e-44,0.26307958298772377,Yes
pupil_velocity_mean_pre,0.03363300830934455,0.0309303950468921,0.002702613262452448,8.838089663184345,1.1028187769111839e-18,0.1666199788593528,Yes
pupil_mean_pre,0.42953844241204414,0.39624608482742696,0.03329235758461718,5.671507862314751,1.4468172751982324e-08,0.10692203362180655,Yes
gaze_dispersion_x,0.3262720722157954,0.36127872785813575,-0.035006655642340345,-4.878837343362494,1.0802773959309946e-06,-0.09197822221645006,Yes
saccade_count,0.5528040786598689,0.633278726889773,-0.08047464822990413,-1.9226662488578425,0.05454465816130198,-0.036247042284798664,No
fixation_ratio,0.9971695617420376,0.9972290854896895,-5.95237476518351e-05,-0.26985463641442753,0.7872765390920834,-0.005087431280740156,No
gaze_velocity_mean,0.6882391815291419,0.682038204548462,0.006200976980679895,0.2010693304761133,0.840647632093664,0.003790657129532161,No
