Model,N_Features,Accuracy,F1_Score,Mean_Subject_Acc,SEM_Subject_Acc
Baseline (No Engineering),40,0.6889936855567101,0.6564261922861625,0.6870993233758217,0.014782478361574189
With Engineered Features,100,0.6804412117336743,0.6422148626895363,0.678289016388464,0.015597343988384308
