window_id,window_name,post_end_time,accuracy,accuracy_sem,accuracy_std,f1_score,f1_sem,physio_weight,behavior_weight,gaze_weight,n_subjects,n_trials,n_physio_features,invest_ratio
0,PRE Only,0.0,0.6930535240090251,0.013335812637600185,0.13066374506991973,0.6793601490323616,0.015709678337747404,0.030960283231145542,0.9667944889698802,0.002245227798974334,97,12511,13,0.6584605547118536
1,PRE+POST[0→0.2s],0.2,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.035848486289753706,0.9619706054289991,0.0021809082812470097,97,12511,26,0.6584605547118536
2,PRE+POST[0→0.4s],0.4,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.035848486289752395,0.9619706054290006,0.002180908281247024,97,12511,26,0.6584605547118536
3,PRE+POST[0→0.6s],0.6000000000000001,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.03584848628975363,0.9619706054289995,0.0021809082812469043,97,12511,26,0.6584605547118536
4,PRE+POST[0→0.8s],0.8,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.03584848628975391,0.961970605428999,0.0021809082812470674,97,12511,26,0.6584605547118536
5,PRE+POST[0→1.0s],1.0,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.03584848628975155,0.9619706054290017,0.002180908281246875,97,12511,26,0.6584605547118536
6,PRE+POST[0→1.2s],1.2000000000000002,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.03584848628975314,0.9619706054289997,0.0021809082812471927,97,12511,26,0.6584605547118536
7,PRE+POST[0→1.4s],1.4000000000000001,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.035848486289753546,0.9619706054289995,0.0021809082812469173,97,12511,26,0.6584605547118536
8,PRE+POST[0→1.6s],1.6,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.0358484862897524,0.9619706054290006,0.002180908281246987,97,12511,26,0.6584605547118536
9,PRE+POST[0→1.8s],1.8,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.03584848628975286,0.9619706054290005,0.0021809082812467777,97,12511,26,0.6584605547118536
10,PRE+POST[0→2.0s],2.0,0.6929291950070348,0.013370309933901339,0.13100174816369342,0.6793728432135855,0.015710685733615407,0.0358484862897524,0.9619706054290006,0.002180908281246928,97,12511,26,0.6584605547118536
