feature,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant
screen_y_mean,0.48094476769125716,0.47401779307930125,0.006926974611955905,3.7206321067901857,0.00019959460576306204,0.0701431719525518,0.0701431719525518,True
gaze_dispersion_x,0.26418705796359393,0.28457566849467153,-0.0203886105310776,-3.4734457827817726,0.0005155595290095016,-0.06548309475824966,0.06548309475824966,True
gaze_dispersion_y,0.1403552619973254,0.15826652336080152,-0.017911261363476122,-2.8606987642074473,0.0042340877112370745,-0.05393128897534695,0.05393128897534695,True
gaze_velocity_max,13.543444987100047,15.422986915013547,-1.8795419279135004,-2.695639196640087,0.00703476630970143,-0.050819505467065755,0.050819505467065755,True
gaze_x_std,0.15801152120864304,0.15988310832828287,-0.0018715871196398337,-1.9403133065270233,0.0523640675331087,-0.03657973322682621,0.03657973322682621,False
screen_x_mean,0.5028127680873615,0.5052480762232111,-0.0024353081358495787,-1.939214620286157,0.05249766744762411,-0.036559020257711544,0.036559020257711544,False
screen_x_std,0.06954738729588958,0.07073702780218762,-0.001189640506298037,-1.2728937833306362,0.20307939201848607,-0.023997214709443996,0.023997214709443996,False
gaze_velocity_mean,0.6275453750602816,0.5884854919888853,0.039059883071396295,1.2523680055743254,0.21045921259960138,0.023610252731667898,0.023610252731667898,False
fixation_ratio,0.997509788682456,0.9977893256546246,-0.00027953697216864803,-1.252273006224649,0.2104938139203163,-0.02360846175757305,0.02360846175757305,False
saccade_ratio,0.0023968118036683567,0.00212614294205315,0.00027066886161520665,1.2403185755956232,0.2148808483180422,0.023383090998213018,0.023383090998213018,False
screen_y_std,0.028686889241175757,0.029689280725125666,-0.0010023914839499097,-0.9811186551806914,0.3265532066664619,-0.018496527622443713,0.018496527622443713,False
gaze_y_std,0.04510673031123052,0.04555230192671555,-0.00044557161548502977,-0.9702079496317249,0.3319616078156856,-0.01829083367757663,0.01829083367757663,False
gaze_acceleration_mean,72.98981015799366,68.16787298806952,4.821937169924141,0.9392701947763057,0.34761017313648834,0.017707580027023762,0.017707580027023762,False
gaze_acceleration_std,269.45769737047095,281.2560043528962,-11.798306982425231,-0.7154439743393828,0.4743481015936384,-0.013487898903769351,0.013487898903769351,False
gaze_x_mean,0.0012355854857190294,0.0026934227751295036,-0.0014578372894104741,-0.6470387923925691,0.5176187099379193,-0.0121982910355299,0.0121982910355299,False
gaze_velocity_std,2.1809009161727273,2.2503318003019026,-0.06943088412917531,-0.6310566527899057,0.5280150123295104,-0.011896987941285941,0.011896987941285941,False
gaze_y_mean,-0.1259269817480988,-0.1263463986653876,0.00041941691728880626,0.21563765286724068,0.8292737192289845,0.004065306251834831,0.004065306251834831,False
gaze_path_length,1.108691283074817,1.1156275777275857,-0.006936294652768682,-0.1321741248286533,0.8948486927594129,-0.0024918110953819957,0.0024918110953819957,False
saccade_count,0.36355911629036175,0.366721273110227,-0.0031621568198652583,-0.09796159317904006,0.9219643603768162,-0.001846819754783894,0.001846819754783894,False
gaze_valid_pct,1.0,1.0,0.0,,,0.0,0.0,False
