subject_id,overall_acc,amb_high,amb_low,amb_medium,rt_fast,rt_slow,mean_across_amb,std_across_amb,range_across_amb,mean_across_rt,std_across_rt,device,date,time
0806_1000_539136F,0.635593220338983,0.4210526315789473,0.7804878048780488,0.6923076923076923,0.7333333333333333,0.6407766990291263,0.6312827095882295,0.18732711319526557,0.3594351732991015,0.6870550161812298,0.06544742376030821,539136F,0806,1000
0806_1000_U9TEJGM,0.7251908396946565,0.6818181818181818,0.9545454545454546,0.5813953488372093,0.8615384615384616,0.5757575757575758,0.7392529950669485,0.1930914774846606,0.37315010570824525,0.7186480186480186,0.20207760226916255,U9TEJGM,0806,1000
0811_1000_4LI8GO7,0.5950413223140496,0.3333333333333333,0.6341463414634146,0.9210526315789472,0.7142857142857143,0.616822429906542,0.6295107687918984,0.29388706977863777,0.5877192982456139,0.6655540720961282,0.06891694930122563,4LI8GO7,0811,1000
0811_1000_539136F,0.7384615384615385,0.5348837209302325,0.8604651162790697,0.8181818181818182,0.8255813953488372,0.5909090909090909,0.7378435517970402,0.17703527624066237,0.32558139534883723,0.7082452431289641,0.16593837782601856,539136F,0811,1000
0811_1000_U9TEJGM,0.7633587786259542,0.5909090909090909,1.0,0.7906976744186046,0.8043478260869565,0.6410256410256411,0.7938689217758985,0.20456389119919835,0.40909090909090906,0.7226867335562988,0.11548622457506041,U9TEJGM,0811,1000
0813_1000_539136F,0.5736434108527132,0.7045454545454546,0.7142857142857143,0.3488372093023256,0.5555555555555556,0.6428571428571429,0.5892227927111648,0.20823697966033297,0.3654485049833887,0.5992063492063493,0.061731544389301785,539136F,0813,1000
0813_1000_9M4VCHG,0.6829268292682927,0.7317073170731707,0.7317073170731707,0.6585365853658537,1.0,0.6916666666666667,0.7073170731707318,0.04224514164802137,0.07317073170731703,0.8458333333333333,0.21802459086585216,9M4VCHG,0813,1000
0813_1000_U9TEJGM,0.6796875,0.6511627906976745,0.8837209302325582,0.4523809523809524,0.625,0.6666666666666666,0.662421557770395,0.21589028232010415,0.43133997785160577,0.6458333333333333,0.029462782549439452,U9TEJGM,0813,1000
0813_1600_539136F,0.7338709677419355,0.6097560975609756,0.926829268292683,0.6904761904761905,0.95,0.6730769230769231,0.7423538521099498,0.16477960350694112,0.3170731707317074,0.8115384615384615,0.19581418555935154,539136F,0813,1600
0813_1600_9M4VCHG,0.5615384615384615,0.5,0.6046511627906976,0.6046511627906976,0.5,0.5703125,0.5697674418604651,0.06042037700821663,0.10465116279069764,0.53515625,0.04971844555217912,9M4VCHG,0813,1600
0813_1600_U9TEJGM,0.7154471544715447,0.2926829268292683,0.9285714285714286,0.875,1.0,0.7131147540983607,0.6987514518002323,0.3526842918516031,0.6358885017421603,0.8565573770491803,0.20285850279941936,U9TEJGM,0813,1600
0816_1400_539136F,0.8294573643410853,0.4651162790697674,1.0,0.9285714285714286,0.9473684210526316,0.7222222222222222,0.7978959025470654,0.29040010081842393,0.5348837209302326,0.8347953216374269,0.15920240395135724,539136F,0816,1400
0816_1400_9M4VCHG,0.3951612903225806,0.525,0.3488372093023256,0.4390243902439024,0.4193548387096774,0.3440860215053763,0.437620533182076,0.08808978554625782,0.17616279069767443,0.3817204301075269,0.053223091057051954,9M4VCHG,0816,1400
0816_1400_U9TEJGM,0.632,0.4146341463414634,0.7857142857142857,0.7142857142857143,0.8620689655172413,0.5520833333333334,0.6382113821138211,0.1968898054008586,0.3710801393728223,0.7070761494252873,0.2191929425876402,U9TEJGM,0816,1400
0817_1000_539136F,0.5267175572519084,0.4418604651162791,0.7727272727272727,0.4318181818181818,0.6923076923076923,0.4673913043478261,0.5488019732205779,0.1939899911924119,0.3409090909090909,0.5798494983277592,0.15903990312640573,539136F,0817,1000
0817_1000_9M4VCHG,0.6717557251908397,0.6046511627906976,0.6590909090909091,0.6818181818181818,0.7272727272727273,0.6710526315789473,0.6485200845665962,0.03965468389408603,0.07716701902748413,0.6991626794258373,0.03975361090402842,9M4VCHG,0817,1000
0817_1000_U9TEJGM,0.773109243697479,0.6842105263157895,0.8536585365853658,0.825,0.8571428571428571,0.7523809523809524,0.7876230209670517,0.09069694574406406,0.16944801026957634,0.8047619047619048,0.0740778532671621,U9TEJGM,0817,1000
0818_1600_539136F,0.7196969696969697,0.1818181818181818,0.8636363636363636,0.9318181818181818,0.7256637168141593,0.5789473684210527,0.6590909090909091,0.41473380888396955,0.75,0.652305542617606,0.10374412485969374,539136F,0818,1600
0818_1600_9M4VCHG,0.8111111111111111,0.7692307692307693,0.896551724137931,0.8285714285714286,0.8181818181818182,0.8245614035087719,0.8314513073133764,0.06370931380727721,0.12732095490716178,0.8213716108452951,0.004511048045847165,9M4VCHG,0818,1600
0818_1600_U9TEJGM,0.6893939393939394,0.5909090909090909,0.9772727272727272,0.4772727272727273,0.5961538461538461,0.8571428571428571,0.6818181818181818,0.2621036953334271,0.4999999999999999,0.7266483516483516,0.1845470994855,U9TEJGM,0818,1600
0819_1400_539136F,0.5348837209302325,0.5116279069767442,0.7906976744186046,0.3953488372093023,0.5373134328358209,0.5483870967741935,0.5658914728682171,0.2031836034431187,0.3953488372093023,0.5428502648050072,0.007830262863404205,539136F,0819,1400
0819_1400_9M4VCHG,0.5436893203883495,0.7058823529411765,0.5757575757575758,0.3611111111111111,0.365079365079365,0.675,0.5475836799366212,0.1741037868702426,0.3447712418300654,0.5200396825396825,0.21914698258202137,9M4VCHG,0819,1400
0819_1400_U9TEJGM,0.751937984496124,0.3809523809523809,0.9772727272727272,0.9069767441860463,0.8541666666666666,0.7407407407407407,0.7550672841370515,0.3258939273723696,0.5963203463203464,0.7974537037037037,0.08020424138458526,U9TEJGM,0819,1400
0823_1400_539136F,0.5038167938931297,0.5454545454545454,0.6744186046511628,0.3636363636363636,0.4444444444444444,0.4411764705882353,0.5278365045806906,0.15613839007662333,0.3107822410147992,0.44281045751633985,0.0023108064744658333,539136F,0823,1400
0823_1400_9M4VCHG,0.9848484848484848,0.9772727272727272,1.0,1.0,0.9416666666666668,0.9166666666666666,0.9924242424242423,0.013121597027037002,0.022727272727272818,0.9291666666666667,0.01767766952966378,9M4VCHG,0823,1400
0823_1400_U9TEJGM,0.5772357723577236,0.5641025641025641,0.575,0.5454545454545454,0.5925925925925926,0.3333333333333333,0.5615190365190365,0.014941199153867005,0.02954545454545454,0.4629629629629629,0.18332398030762342,U9TEJGM,0823,1400
0824_1000_539136F,0.7862595419847328,0.6590909090909091,0.9302325581395348,0.7954545454545454,0.9803921568627452,0.6875,0.7949260042283298,0.13557159724320167,0.2711416490486257,0.8339460784313726,0.2071060302740011,539136F,0824,1000
0824_1000_9M4VCHG,0.6822429906542056,0.9411764705882352,0.6857142857142857,0.4473684210526316,0.4,0.7216494845360825,0.6914197257850508,0.24695346015259656,0.4938080495356036,0.5608247422680412,0.22744053168062145,9M4VCHG,0824,1000
0824_1000_U9TEJGM,0.7719298245614035,0.7368421052631579,0.8648648648648649,0.6923076923076923,0.9375,0.7448979591836735,0.7646715541452384,0.08958154452252824,0.17255717255717262,0.8411989795918368,0.13619020913159266,U9TEJGM,0824,1000
0824_1600_539136F,0.6412213740458015,0.6976744186046512,0.7727272727272727,0.5454545454545454,0.3684210526315789,0.6964285714285714,0.6719520789288231,0.1157991891564655,0.2272727272727273,0.5324248120300752,0.23193634082152734,539136F,0824,1600
0824_1600_9M4VCHG,0.6015625,0.7317073170731707,0.5813953488372093,0.4545454545454545,0.25,0.6048387096774194,0.5892160401519448,0.13874634020196155,0.27716186252771624,0.4274193548387097,0.25090885784038786,9M4VCHG,0824,1600
0824_1600_U9TEJGM,0.6446280991735537,0.6190476190476191,0.717948717948718,0.725,0.6949152542372882,0.6774193548387096,0.6873321123321124,0.05924111040469859,0.10595238095238091,0.6861673045379989,0.012371469107692525,U9TEJGM,0824,1600
0825_1000_539136F,0.7837837837837838,0.75,1.0,1.0,0.92,0.6666666666666666,0.9166666666666666,0.14433756729740646,0.25,0.7933333333333333,0.1791337179005921,539136F,0825,1000
0825_1000_9M4VCHG,0.5555555555555556,1.0,0.25,0.5,0.5,0.5714285714285714,0.5833333333333334,0.38188130791298663,0.75,0.5357142857142857,0.05050762722761051,9M4VCHG,0825,1000
0825_1300_539136F,0.5645161290322581,0.5476190476190477,0.4878048780487805,0.7317073170731707,0.6595744680851063,0.3666666666666666,0.589043747580333,0.12711846547875522,0.24390243902439024,0.5131205673758865,0.20711709264542139,539136F,0825,1300
0825_1300_9M4VCHG,0.6386554621848739,0.4473684210526316,0.7380952380952381,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.6173767752715121,0.15150128904481605,0.29072681704260656,0.6025641025641025,0.09065471553673685,9M4VCHG,0825,1300
0825_1300_U9TEJGM,0.5955056179775281,0.6363636363636364,0.7407407407407407,0.4827586206896552,0.0,0.6022727272727273,0.6199543325980108,0.12977150112435165,0.2579821200510855,0.30113636363636365,0.42587112957826156,U9TEJGM,0825,1300
0826_1000_539136F,0.803030303030303,0.5,1.0,1.0,0.8947368421052632,0.5,0.8333333333333334,0.28867513459481287,0.5,0.6973684210526316,0.27912109783679506,539136F,0826,1000
