,Physio,Behavior,Gaze,EEG
Physio,1.0,0.060937932848258027,0.06785360599366183,0.037761595707730196
Behavior,0.060937932848258027,1.0,0.020107186015646955,0.024029583575096707
Gaze,0.06785360599366183,0.020107186015646955,1.0,0.04336382664915265
EEG,0.037761595707730196,0.024029583575096707,0.04336382664915265,1.0
