ambiguity,modality,shapley_pct,fusion_pct
Low,Behavior,28.83591159435646,60.5395754781275
Low,Physio,6.481355275083031,0.63807645960534
Low,Gaze,41.83265834497605,38.35307152568953
Low,EEG,22.850074785584454,0.46927653657760005
Medium,Behavior,59.13474119963448,85.69131350649468
Medium,Physio,-3.158367863574838,0.5362372941807
Medium,Gaze,32.2089621464014,13.435116609541451
Medium,EEG,11.814664517538958,0.33733258978316
High,Behavior,47.40460321725919,64.27091534363781
High,Physio,10.286323171011768,3.03982144439452
High,Gaze,34.690304783828864,32.136392125515236
High,EEG,7.618768827900181,0.55287108645241
