Group,Mean,SD,SEM,Median,IQR,Min,Max,N_Perfect,N_Above90
Low,0.807021241397299,0.19343573958212387,0.01964042363844949,0.8604651162790697,0.2790697674418604,0.048780487804878,1.0,20,40
Medium,0.6863917427665358,0.2368182329632879,0.02404524846729944,0.6829268292682927,0.40697674418604635,0.054054054054054,1.0,12,26
High,0.5913569997891742,0.16034032504317566,0.01628009341488664,0.6052631578947368,0.20267131242741,0.1162790697674418,0.90625,0,1
